Indicativo;31/01/2020;29/02/2020;31/03/2020;30/04/2020;31/05/2020;30/06/2020;31/07/2020;31/08/2020;30/09/2020;31/10/2020;30/11/2020;31/12/2020;anual;Año
1387;11.5;13.3;12.5;14.4;17.6;17.6;19.5;20.2;19.5;16.0;14.8;11.6;15.7;2020
1387E;9.9;12.0;11.3;13.5;16.9;16.5;19.6;19.4;18.4;14.5;13.0;9.9;14.6;2020
1428;8.2;10.4;10.3;12.2;16.9;16.1;20.9;19.6;18.8;13.5;12.5;8.7;14.0;2020
8175;5.8;9.9;9.9;13.1;17.6;21.8;26.6;25.9;20.2;13.6;11.2;6.4;15.2;2020
8178D;7.0;11.5;10.8;13.9;18.7;22.6;27.2;26.7;21.1;14.6;12.2;7.4;16.1;2020
8025;11.7;14.9;15.2;16.6;21.1;23.6;26.6;27.1;23.9;19.3;16.7;13.2;19.2;2020
8019;11.4;14.4;14.6;16.0;20.5;23.1;26.3;27.0;23.8;19.1;16.7;12.7;18.8;2020
6325O;12.5;14.5;16.0;;22.0;22.5;28.5;27.3;24.9;19.2;17.6;14.1;;2020
9091O;5.5;9.0;8.5;12.8;15.7;17.0;19.6;20.3;17.3;11.9;9.8;6.4;12.8;2020
1212E;10.1;12.1;10.8;13.5;15.9;16.4;18.7;19.4;18.0;14.8;;;;2020
1208H;11.5;12.9;12.3;14.8;17.2;18.0;20.4;21.0;19.3;16.2;14.8;11.4;15.8;2020
1249I;9.1;12.0;10.5;13.6;16.9;16.7;19.5;19.7;18.1;13.9;12.7;8.7;14.3;2020
2444;5.0;8.6;7.8;10.6;16.0;18.1;23.9;21.0;17.2;10.9;9.5;4.7;12.8;2020
4452;9.5;12.7;13.8;16.0;21.6;22.6;29.1;26.2;23.8;17.2;14.5;10.2;18.1;2020
B954;11.1;12.4;13.6;15.4;;22.5;25.8;26.4;23.2;19.1;16.9;12.8;;2020
B893;11.7;12.8;13.1;15.9;19.8;21.9;25.4;25.7;22.9;17.7;16.3;12.1;17.9;2020
B278;10.8;12.0;13.2;16.1;19.9;22.3;26.1;25.8;22.6;17.2;15.6;11.4;17.8;2020
B228;13.1;14.3;14.9;17.3;21.1;23.2;27.2;27.2;24.1;19.3;17.7;13.8;19.4;2020
0200E;10.1;12.8;11.9;14.4;19.5;20.1;25.0;25.5;21.8;16.4;14.7;9.3;16.8;2020
76;10.6;13.1;13.1;15.4;20.0;21.7;25.5;26.2;22.4;17.3;14.9;10.8;17.6;2020
1082;10.4;12.7;11.2;15.7;18.1;18.4;21.0;22.2;20.4;15.2;14.5;10.4;15.9;2020
2331;4.2;7.7;7.3;11.2;14.7;16.1;20.5;19.9;16.1;10.4;8.5;4.6;11.8;2020
3469A;8.5;12.0;12.4;14.6;19.9;22.1;29.1;26.1;22.8;16.2;13.6;9.0;17.2;2020
5973;13.3;16.1;16.1;17.6;21.3;22.4;26.5;25.6;24.5;19.8;18.4;14.7;19.7;2020
5960;10.5;;14.3;16.5;20.9;21.9;;26.1;23.9;17.9;16.3;;;2020
5910;11.8;15.2;15.4;17.0;21.0;21.9;26.6;25.4;24.0;18.9;17.1;13.1;19.0;2020
6001;12.4;14.0;;;;;23.7;23.4;22.4;18.1;17.0;13.5;;2020
1111;11.5;12.8;11.6;14.8;16.8;17.5;20.2;20.9;19.4;16.0;15.2;11.4;15.7;2020
1109;10.6;12.7;;;17.8;18.4;21.0;21.4;19.9;15.9;14.6;11.0;;2020
8500A;11.2;14.4;14.1;16.4;21.2;23.1;26.6;26.8;23.6;18.8;15.5;12.1;18.7;2020
5000C;14.3;16.0;15.9;16.6;20.3;22.3;25.0;26.0;23.6;19.4;17.6;15.0;19.3;2020
4121;6.7;10.7;11.7;14.6;20.2;23.4;29.0;26.6;21.5;14.7;11.5;7.4;16.5;2020
5402;10.2;14.2;14.7;16.8;22.4;24.7;30.8;28.4;24.7;17.9;15.3;10.1;19.2;2020
8096;6.2;10.0;9.5;12.5;17.7;20.6;25.9;24.5;19.4;12.5;10.9;5.7;14.6;2020
1014;9.9;12.8;11.7;16.0;18.4;18.9;21.9;22.6;20.2;15.3;13.8;10.2;16.0;2020
1024E;9.8;12.2;10.5;14.7;16.9;16.9;19.7;20.8;18.8;14.3;13.8;9.2;14.8;2020
367;8.0;11.0;10.7;13.7;19.1;;;25.2;;;12.6;8.1;;2020
5530E;7.2;11.4;12.2;14.4;20.2;22.7;28.8;26.7;22.3;15.3;13.1;8.1;16.9;2020
5514;7.3;11.3;12.0;13.5;19.0;22.1;27.9;26.5;21.6;15.5;12.9;7.7;16.4;2020
3013;3.3;7.7;7.4;11.2;15.4;17.3;21.9;20.4;15.6;9.5;7.9;3.7;11.8;2020
4642E;11.8;15.1;15.0;17.0;21.5;22.7;27.5;26.8;24.1;18.8;16.7;12.6;19.1;2020
9898;4.8;10.3;9.8;13.5;18.4;20.3;25.1;24.9;20.4;13.3;10.8;5.8;14.8;2020
5270B;9.1;14.0;13.7;15.4;21.4;23.8;30.3;;23.9;17.5;14.6;9.2;;2020
9170;5.7;;10.2;13.5;;19.6;23.7;23.3;19.8;13.5;10.3;6.9;;2020
C249I;17.6;19.3;19.0;20.3;21.8;23.6;25.0;25.6;24.9;;21.4;19.2;;2020
C649I;17.8;20.2;18.9;20.2;;23.4;;;25.4;23.4;21.7;19.2;;2020
C029O;17.3;19.9;19.0;;22.4;;25.6;26.2;26.1;23.4;;18.7;;2020
2661;3.5;7.7;8.3;11.0;15.7;16.3;22.2;19.3;17.2;10.9;9.2;4.3;12.1;2020
1549;5.8;10.3;11.3;13.7;19.3;18.7;24.9;21.5;19.5;12.8;11.0;6.4;14.6;2020
9771C;5.5;10.7;11.8;15.2;20.5;22.2;26.7;26.4;21.5;14.9;11.2;6.6;16.1;2020
1505;7.4;10.3;9.8;12.7;16.6;16.2;19.4;19.2;17.5;12.7;10.7;7.2;13.3;2020
3191E;5.9;9.2;9.2;11.4;;19.8;26.1;23.5;19.1;12.1;10.2;5.3;;2020
3129;6.7;9.9;11.2;13.9;19.5;22.5;28.2;25.5;20.7;13.4;10.3;6.5;15.7;2020
3196;7.2;11.0;;13.9;19.5;22.7;28.5;25.8;21.3;14.3;11.6;7.2;;2020
3200;7.0;10.6;11.3;13.9;20.0;23.1;29.1;26.3;21.8;14.4;11.7;7.3;16.4;2020
3195;7.0;10.9;11.4;13.8;19.7;22.5;28.2;25.5;20.9;13.8;11.2;7.2;16.0;2020
3175;5.9;9.2;10.2;13.3;18.5;21.2;27.2;24.6;20.1;13.1;10.4;5.9;15.0;2020
2462;2.2;5.8;2.9;4.9;11.3;12.8;20.2;17.0;12.9;6.1;6.2;-0.3;8.5;2020
6155A;12.6;15.6;16.2;16.9;20.8;;26.8;28.2;24.2;19.0;16.8;13.6;;2020
6000A;13.8;15.7;16.3;;20.8;23.2;26.1;27.5;24.5;19.9;18.0;15.0;;2020
7178I;11.3;15.2;15.6;17.0;22.2;25.3;28.4;29.1;24.9;19.5;17.0;12.5;19.8;2020
7228;10.1;14.3;15.1;16.5;21.5;24.7;27.6;28.5;24.0;18.5;16.1;11.3;19.0;2020
7031;10.8;14.0;14.9;16.4;20.3;22.8;25.9;26.5;23.7;18.3;16.3;12.0;18.5;2020
9262;6.7;10.5;;;;;;22.8;19.3;13.1;10.9;6.6;;2020
9263D;5.8;9.2;;;17.5;;22.3;22.7;18.9;12.5;9.7;5.9;;2020
1690A;8.2;12.4;12.7;14.9;20.0;19.9;25.2;22.7;20.8;14.6;13.1;8.9;16.1;2020
1484C;9.9;12.5;12.3;13.9;18.2;17.6;22.7;20.1;19.8;14.6;13.7;9.6;15.4;2020
1495;9.1;12.1;11.7;13.3;18.3;17.2;;;19.9;14.1;12.9;8.9;;2020
2867;4.8;7.9;8.6;11.9;17.0;18.8;23.7;20.9;17.8;11.8;9.7;5.3;13.2;2020
2870;6.3;9.9;10.1;13.2;18.5;19.8;25.3;22.8;19.5;13.3;11.2;6.7;14.7;2020
C929I;19.2;20.3;19.3;20.8;21.6;23.2;23.4;24.2;24.6;23.7;22.0;19.9;21.9;2020
C430E;5.1;7.8;6.0;6.8;12.3;14.1;20.5;18.8;16.6;12.1;8.2;4.6;11.1;2020
C139E;18.2;20.2;18.7;19.8;20.9;22.8;23.3;24.5;24.4;23.2;;19.2;;2020
C449C;18.7;20.4;19.2;21.0;22.4;24.1;26.4;26.7;25.6;23.7;22.3;19.8;22.5;2020
C447A;14.0;16.9;14.9;;18.2;19.2;21.4;22.6;22.5;19.3;17.9;14.5;;2020
C429I;18.5;21.2;19.3;20.2;21.9;23.9;24.8;25.9;25.6;24.0;;19.4;;2020
2465;5.6;9.5;8.6;11.3;16.5;18.5;24.1;21.9;18.2;11.7;10.3;5.1;13.4;2020
5796;10.4;14.1;14.4;16.3;21.5;23.3;29.4;27.7;25.3;19.0;16.8;11.9;19.2;2020
5783;11.4;16.0;16.1;17.7;23.2;;;28.9;26.0;19.8;17.1;11.9;;2020
2030;5.0;8.7;7.9;11.0;16.0;17.2;22.4;20.9;16.8;10.7;9.0;4.1;12.5;2020
0016A;9.0;12.5;12.4;14.8;19.6;21.6;25.8;26.3;21.9;16.9;13.8;9.9;17.0;2020
9981A;9.8;14.6;14.2;16.2;21.7;23.2;27.7;28.0;24.1;18.7;15.0;11.2;18.7;2020
9381I;4.4;8.6;8.4;12.3;16.4;18.4;22.8;22.1;17.2;11.4;8.6;4.9;13.0;2020
8368U;4.8;9.0;8.9;12.8;16.9;19.9;24.5;23.6;18.1;11.8;9.6;5.1;13.8;2020
3260B;7.6;10.8;12.0;14.7;20.6;23.6;29.6;26.9;22.2;15.4;12.1;8.1;17.0;2020
8416;11.9;15.6;14.8;16.4;21.3;23.2;26.3;27.1;23.7;19.5;16.0;13.0;19.1;2020
8414A;10.4;14.5;13.7;16.1;20.8;23.3;26.4;27.0;23.4;18.4;15.1;11.5;18.4;2020
2422;4.6;9.6;9.9;13.1;17.8;19.6;24.7;22.7;19.2;12.8;10.1;5.8;14.2;2020
2539;3.9;7.9;8.3;11.0;15.8;17.4;22.7;20.7;17.7;11.2;9.1;;;2020
2614;5.0;9.7;10.3;13.1;18.8;20.1;25.4;23.1;19.8;13.0;9.8;;;2020
9390;4.7;9.1;9.0;12.9;17.2;19.2;23.4;23.2;18.2;12.4;9.3;5.6;13.7;2020
9434;6.5;11.5;11.6;15.7;20.5;22.3;26.6;26.2;21.9;15.4;11.6;7.9;16.5;2020
