Indicativo;31/01/2022;28/02/2022;31/03/2022;30/04/2022;31/05/2022;30/06/2022;31/07/2022;31/08/2022;30/09/2022;31/10/2022;30/11/2022;31/12/2022;anual;Año
1387;54.2;44.0;105.4;40.4;26.6;50.2;1.8;6.6;62.2;150.0;162.4;199.4;903.2;2022
1387E;43.1;35.6;106.0;45.6;32.3;52.6;1.2;8.1;61.1;175.7;155.4;184.8;901.5;2022
1428;54.1;45.5;154.6;98.0;48.2;104.4;7.9;9.9;132.7;214.2;232.7;405.1;1507.3;2022
8175;1.2;5.2;69.4;100.6;16.0;3.8;10.0;27.0;51.4;14.6;21.2;83.4;403.8;2022
8178D;1.0;8.4;88.6;104.1;4.5;5.7;16.9;38.9;31.7;15.7;26.6;86.9;429.0;2022
8025;17.0;1.2;126.8;84.6;27.8;9.4;0.0;0.8;15.8;23.6;17.4;20.4;344.8;2022
8019;20.1;2.8;254.7;84.8;20.8;11.9;0.0;1.2;70.3;16.0;46.2;18.0;546.8;2022
6325O;4.6;5.1;123.8;38.8;36.1;0.5;0.0;0.3;1.3;0.0;3.8;99.3;313.6;2022
9091O;80.4;10.9;51.9;76.2;10.5;15.5;2.5;3.9;17.9;31.9;75.7;28.6;405.9;2022
1212E;76.2;61.8;98.7;134.0;47.3;71.9;17.7;55.2;58.8;42.4;130.6;101.1;895.7;2022
1208H;47.5;43.4;95.6;80.6;22.6;62.8;22.1;55.1;71.7;29.6;111.5;120.9;763.4;2022
1249I;50.7;38.9;104.8;115.7;47.1;107.1;23.0;55.1;56.8;16.6;85.8;74.2;775.8;2022
2444;9.2;1.8;136.6;43.0;20.4;7.2;0.0;4.0;32.2;47.2;73.2;65.6;440.4;2022
4452;1.8;2.2;73.4;29.2;0.0;1.8;0.0;0.0;21.0;55.0;53.0;214.6;452.0;2022
B954;21.6;0.6;131.5;60.1;14.0;1.5;0.1;4.3;99.7;60.1;20.0;33.5;447.0;2022
B893;12.3;13.2;48.0;23.2;17.0;0.2;0.0;65.3;113.1;182.2;147.5;42.8;664.8;2022
B278;6.1;0.3;42.8;20.3;53.7;3.7;1.1;6.9;26.2;6.4;54.8;27.6;249.9;2022
B228;9.1;0.5;50.5;31.6;64.4;5.4;0.0;6.3;24.7;13.7;52.8;34.9;293.9;2022
0200E;12.3;1.9;89.5;38.9;20.0;9.5;2.7;67.9;13.1;11.3;7.6;33.0;307.7;2022
76;14.2;4.7;62.4;26.6;26.2;4.5;3.7;82.3;15.1;35.9;29.3;26.9;331.8;2022
1082;119.8;36.7;123.1;99.0;21.2;50.5;5.9;33.5;106.7;16.2;173.9;63.3;849.8;2022
2331;12.8;7.6;64.6;66.0;23.4;5.0;1.2;23.6;3.4;54.2;62.2;85.2;409.2;2022
3469A;4.4;11.6;98.8;35.8;6.0;1.8;0.0;0.0;16.4;77.2;34.2;278.9;565.1;2022
5973;3.6;3.4;154.2;41.8;0.2;0.0;0.0;0.2;4.3;9.4;55.2;180.8;453.1;2022
5960;5.1;7.1;159.5;68.4;0.0;0.5;0.0;0.3;8.7;15.6;68.9;192.6;526.7;2022
5910;1.5;5.2;159.1;56.1;0.0;0.0;0.0;0.3;2.2;12.1;55.1;171.5;463.1;2022
6001;29.2;12.7;262.4;63.8;;0.0;0.0;2.0;15.2;2.5;95.1;228.6;;2022
1111;73.4;40.4;108.3;79.2;30.1;69.2;6.4;67.0;175.3;45.1;179.5;72.5;946.4;2022
1109;85.3;37.4;120.2;85.9;16.9;58.3;15.0;50.2;171.8;23.6;195.9;95.3;955.8;2022
8501;9.3;13.4;221.2;100.2;117.0;34.6;5.8;1.5;34.6;49.6;133.2;18.0;738.4;2022
8500A;15.0;13.6;207.4;79.4;96.4;40.4;5.0;1.2;14.4;52.0;172.4;16.2;713.4;2022
5000C;27.8;14.7;219.6;86.5;1.4;0.2;0.0;0.0;9.2;10.6;64.8;180.0;614.8;2022
4121;10.4;7.2;73.8;66.0;0.8;0.2;0.0;12.0;5.8;24.4;21.4;105.8;327.8;2022
5402;0.8;1.3;101.8;67.7;26.2;0.0;0.0;5.0;15.2;45.6;29.8;192.0;485.4;2022
8096;6.8;5.4;59.2;47.1;2.1;1.1;0.9;17.0;30.6;26.6;50.2;125.0;372.0;2022
1014;121.0;58.8;111.1;162.6;43.5;88.0;15.2;234.3;203.5;28.9;439.4;90.8;1597.1;2022
1024E;124.7;56.3;138.6;149.4;51.5;124.6;28.7;76.5;147.6;40.6;317.3;82.4;1338.2;2022
367;4.2;3.8;139.0;60.8;44.3;14.8;3.5;77.7;69.5;39.9;34.8;27.3;519.6;2022
5530E;7.5;11.8;93.6;46.6;5.0;0.6;0.0;1.7;7.6;0.8;17.7;94.8;287.7;2022
5514;9.8;12.3;102.9;48.7;10.1;1.4;0.0;4.2;4.6;2.0;15.6;103.5;315.1;2022
3013;6.2;4.0;74.8;42.2;37.4;8.2;5.8;20.6;36.8;17.2;37.4;76.2;366.8;2022
4642E;2.4;5.8;97.9;33.4;15.2;0.2;0.0;4.2;19.0;42.2;29.8;182.2;432.3;2022
9898;5.0;3.0;43.2;56.2;18.2;34.5;10.2;4.4;30.8;35.4;44.4;50.8;336.1;2022
5270B;9.6;10.0;106.9;61.2;3.4;3.4;0.0;3.8;22.0;9.8;29.0;126.4;385.5;2022
9170;10.9;1.6;40.9;49.2;14.1;5.8;7.2;14.1;17.7;13.4;34.3;49.9;259.1;2022
C249I;12.4;5.2;10.7;5.4;0.2;0.0;0.2;0.8;65.9;14.7;0.4;5.6;121.5;2022
C649I;18.0;10.3;7.0;3.4;0.3;0.1;0.4;0.6;153.2;0.8;0.5;12.8;207.4;2022
C029O;7.2;9.1;19.0;5.8;0.9;0.4;0.0;0.0;53.1;4.2;0.3;15.8;115.8;2022
2661;6.4;3.6;62.1;31.6;16.6;27.5;0.5;13.4;51.9;83.0;41.1;96.4;434.1;2022
1549;12.6;15.0;56.0;18.6;12.0;46.8;13.7;36.8;21.6;88.2;87.2;147.4;555.9;2022
9771C;4.0;2.6;45.2;37.4;8.9;15.0;26.3;40.4;34.4;11.0;5.0;54.1;284.3;2022
1505;37.2;27.0;92.4;75.6;29.8;93.4;2.0;14.4;30.6;199.2;140.6;186.6;928.8;2022
3191E;8.4;13.1;108.6;55.7;10.1;1.5;6.8;2.9;48.1;70.4;45.0;134.5;505.1;2022
3129;11.5;9.0;79.7;43.4;1.4;1.2;0.7;0.2;46.5;26.4;30.2;137.6;387.8;2022
3196;12.2;6.1;114.1;75.1;19.2;0.3;7.7;2.7;22.7;17.0;36.8;133.6;447.5;2022
3200;10.7;4.6;94.7;58.9;0.5;0.4;4.4;2.9;28.6;25.3;40.4;120.7;392.1;2022
3195;12.3;8.7;;62.7;6.2;0.3;9.8;4.9;43.9;27.8;45.4;145.4;;2022
3175;11.3;7.7;57.5;46.7;7.4;0.4;0.7;5.8;30.9;31.0;32.4;102.7;334.5;2022
2462;45.7;22.9;364.4;163.6;38.0;3.6;0.5;4.4;97.8;135.3;216.6;203.2;1296.0;2022
6155A;6.3;2.0;221.8;21.1;12.0;0.0;0.3;1.7;1.6;2.2;9.4;137.4;415.8;2022
6000A;3.0;5.6;69.4;114.4;4.4;0.2;3.2;0.6;2.2;5.2;9.4;44.2;261.8;2022
7178I;13.8;2.4;140.0;96.6;34.2;4.8;0.0;3.8;93.6;29.0;13.6;8.8;440.6;2022
7228;12.2;5.1;159.9;92.1;49.1;7.3;0.0;4.2;59.9;8.1;11.4;10.0;419.3;2022
7031;12.5;0.3;170.7;100.3;13.6;0.4;0.2;1.6;44.0;63.3;31.0;47.2;485.1;2022
9263D;84.1;8.2;61.7;61.8;2.7;7.0;17.8;16.1;23.2;40.8;99.4;51.0;473.8;2022
9262;;8.7;55.7;56.8;3.7;;7.4;11.0;21.7;53.4;114.8;50.3;;2022
1690A;20.2;17.2;78.0;55.0;15.6;79.8;7.0;16.0;;;;184.8;;2022
1484C;83.2;42.6;123.0;96.4;49.0;86.2;4.4;15.0;93.6;290.4;343.1;403.4;1630.3;2022
1495;78.5;35.3;75.4;59.8;56.3;75.9;2.8;13.2;122.2;311.7;412.9;500.5;1744.5;2022
2867;6.3;3.9;47.8;71.7;3.2;8.1;11.8;6.8;15.5;72.5;43.3;87.7;378.6;2022
2870;3.1;2.1;41.9;;2.1;22.7;0.0;6.5;16.5;61.1;45.8;89.2;;2022
C929I;15.1;33.4;28.9;12.3;0.4;0.0;0.4;0.0;64.5;0.0;0.5;77.6;233.1;2022
C430E;96.4;87.8;21.4;11.6;0.0;0.0;0.0;10.8;125.2;0.8;0.0;33.0;387.0;2022
C139E;41.3;31.7;38.8;19.8;1.2;10.1;0.1;7.6;187.3;1.1;8.2;91.3;438.5;2022
C449C;63.2;55.0;40.4;8.2;0.2;0.2;0.6;1.8;107.4;1.4;1.4;33.8;313.6;2022
C447A;97.3;69.3;60.9;33.3;4.8;14.0;6.1;3.9;177.3;21.7;8.7;79.0;576.3;2022
C429I;13.9;9.3;9.7;17.2;1.6;0.0;0.0;9.4;108.6;0.0;0.0;61.9;231.6;2022
2465;21.2;3.6;106.2;48.8;15.2;8.0;8.2;3.6;28.9;28.2;76.8;105.0;453.7;2022
5796;2.1;8.4;149.4;70.4;6.6;0.0;0.0;0.2;10.4;19.3;27.7;121.3;415.8;2022
5783;0.5;2.1;97.6;63.4;6.4;0.0;0.0;1.7;5.9;30.7;21.4;133.5;363.2;2022
2030;3.0;6.4;77.0;48.2;14.8;6.2;1.0;21.2;13.4;46.0;66.0;90.2;393.4;2022
0016A;0.0;0.0;70.5;72.5;29.7;18.2;9.6;28.7;147.9;45.1;3.0;37.3;462.5;2022
9981A;6.8;0.8;92.6;81.6;33.8;11.4;18.8;32.0;98.8;6.2;58.3;21.5;462.6;2022
9381I;6.4;1.2;60.2;67.0;34.2;4.8;37.4;28.4;60.2;35.6;42.4;47.6;425.4;2022
8368U;1.2;2.0;45.2;64.8;23.6;7.4;28.6;10.8;144.8;9.4;42.4;29.0;409.2;2022
3260B;9.5;5.6;77.0;79.2;9.2;3.0;0.0;0.2;16.4;16.8;29.2;105.6;351.7;2022
8416;11.9;5.9;195.3;82.7;237.9;3.4;3.5;19.4;30.2;29.5;48.4;12.7;680.8;2022
8414A;12.3;8.5;182.0;87.1;154.6;1.8;1.0;25.4;12.5;32.5;211.1;13.1;741.9;2022
2422;8.6;2.9;45.6;60.2;6.6;21.2;2.4;8.8;17.2;71.6;48.0;141.0;434.1;2022
2539;7.3;2.5;65.0;53.8;7.9;14.5;2.8;26.1;10.2;79.7;44.0;120.1;433.9;2022
2614;2.0;1.4;43.2;35.6;17.0;22.4;2.8;32.2;27.2;53.8;33.4;116.8;387.8;2022
9390;12.2;0.0;67.4;39.4;45.6;16.4;1.6;11.6;11.6;12.8;29.8;42.2;290.6;2022
9434;7.4;0.8;33.6;31.0;13.8;9.4;8.4;25.8;12.4;6.2;29.8;35.6;214.2;2022
