Indicativo;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
1387;15.4;16.2;15.2;18.2;18.3;20.0;22.8;23.6;21.5;20.8;19.5;15.2;18.9
1387E;14.9;15.9;15.1;18.3;18.5;21.3;23.6;24.5;21.5;20.9;19.1;14.6;19.0
1428;12.8;14.6;13.3;18.5;18.0;21.2;24.7;25.7;20.5;18.7;17.4;12.7;18.2
8175;14.1;16.1;17.2;21.7;26.2;29.2;36.0;35.5;27.5;22.1;17.8;13.0;23.0
8178D;14.2;16.1;17.2;21.6;26.0;28.9;35.7;35.3;27.4;22.5;18.5;14.0;23.1
8025;19.4;20.1;21.0;22.3;25.7;28.9;31.9;32.7;28.7;26.2;22.5;18.6;24.8
8019;18.7;19.6;20.7;21.8;25.4;28.3;31.6;31.9;28.0;25.4;21.9;18.0;24.3
6325O;18.9;20.1;20.9;22.8;24.5;28.6;31.2;33.2;28.8;25.2;23.2;19.5;24.7
9091O;11.8;13.7;15.9;17.8;19.3;23.1;28.0;28.4;21.3;19.3;15.8;10.5;18.7
1212E;14.5;15.6;14.9;17.0;17.1;19.1;22.4;22.9;19.6;19.7;17.9;13.9;17.9
1208H;15.7;16.3;16.1;17.8;18.3;20.5;23.5;24.4;21.2;20.7;19.3;15.7;19.1
1249X;14.0;15.3;15.5;17.8;18.1;20.2;24.3;24.3;20.4;19.8;18.0;12.2;18.3
2444;11.8;11.8;13.6;17.2;19.9;24.5;31.2;31.4;23.1;17.5;14.7;10.2;18.9
4452;16.1;18.3;19.0;24.1;27.3;30.7;36.8;37.6;30.5;23.7;20.1;15.5;25.0
B954;17.0;17.7;18.7;20.3;23.3;26.4;29.4;30.8;27.3;24.8;22.1;16.8;22.9
B893;15.4;15.7;17.2;18.8;22.2;25.8;29.4;29.7;25.1;23.2;19.6;15.3;21.5
B278;17.1;17.7;19.1;21.2;24.6;28.0;31.4;32.2;27.5;25.5;21.2;16.9;23.5
B228;18.2;18.2;19.4;21.3;24.4;27.6;31.0;32.0;27.8;25.8;22.4;17.8;23.8
0200E;14.5;18.0;17.4;19.4;23.0;25.6;30.9;32.0;25.2;21.5;17.5;14.0;21.6
0076;15.3;17.0;17.1;18.5;21.7;25.0;28.7;30.2;25.5;23.1;19.6;15.7;21.5
1082;16.0;16.7;18.1;19.7;20.3;22.9;25.9;27.3;23.0;22.7;19.5;14.5;20.6
2331;9.8;12.0;13.5;16.1;18.6;23.5;30.0;30.4;20.6;17.2;14.5;8.4;17.9
3469A;14.4;16.1;16.9;21.6;25.4;29.2;35.8;36.7;28.5;21.8;18.7;14.5;23.3
5973;18.3;19.1;19.3;22.1;23.4;25.6;28.5;29.1;25.9;22.8;21.3;17.6;22.8
5960;19.3;19.9;20.3;24.9;28.1;30.3;35.4;35.5;30.3;24.8;22.8;18.6;25.9
5910;19.0;19.7;20.3;24.1;25.5;27.3;31.2;31.1;27.6;24.0;22.2;18.3;24.2
6001;17.2;17.7;18.0;19.9;20.8;23.5;26.1;27.7;25.7;21.3;20.2;17.1;21.3
1109X;15.7;16.5;16.7;18.9;19.7;21.8;25.2;26.0;22.1;22.4;20.0;14.7;20.0
1111;14.7;15.1;15.3;16.9;;;;;;;;;
1111X;14.6;15.0;15.2;16.8;17.2;19.6;22.4;23.7;20.4;20.8;18.5;13.9;18.2
1109;15.7;16.4;16.6;18.8;;;;;;;;;
8500A;17.5;19.8;19.8;22.2;24.9;28.1;31.4;31.8;27.7;24.5;20.4;17.5;23.8
5000C;18.4;18.7;18.4;21.1;22.6;25.7;29.6;30.1;27.4;23.3;20.1;17.8;22.8
4121;13.4;15.6;17.0;22.7;26.9;31.0;37.6;37.2;28.1;21.1;17.3;12.3;23.4
5402;17.2;19.1;20.0;25.2;30.0;32.3;38.2;38.5;31.3;24.5;20.7;16.9;26.2
8096;12.6;14.9;15.3;20.7;23.7;27.8;34.4;34.1;26.1;20.3;17.0;13.0;21.7
1024E;13.6;14.1;15.3;16.9;17.3;19.5;22.1;23.0;19.6;20.1;17.1;12.1;17.6
1014;15.2;16.2;17.7;19.0;20.0;22.2;25.3;26.2;22.3;22.5;19.1;13.8;20.0
0367;15.7;18.9;19.4;21.6;23.2;27.2;32.6;33.2;26.5;23.5;18.9;15.4;23.0
5530E;16.8;17.8;18.9;23.9;28.6;32.3;38.5;38.1;30.4;24.4;20.7;16.3;25.6
5514;16.8;17.0;18.2;22.7;26.7;30.4;36.9;36.3;29.2;23.6;20.4;15.7;24.5
3168D;12.2;14.8;16.2;20.7;24.0;28.4;35.0;35.1;26.0;20.7;17.0;12.8;21.9
3013;11.0;13.2;14.3;18.6;21.3;25.7;31.4;31.3;22.2;17.7;14.5;9.8;19.3
4642E;18.5;19.8;20.3;24.5;26.9;28.9;33.2;33.9;29.2;24.6;21.9;18.1;25.0
9898;10.7;13.4;15.7;19.6;22.9;28.9;34.0;33.5;23.8;19.6;15.4;10.8;20.7
5270B;15.6;16.4;17.5;22.4;26.4;29.9;36.5;36.6;28.9;22.7;19.6;14.5;23.9
9170;10.9;15.6;17.8;20.9;23.4;27.7;32.9;32.6;23.4;20.3;16.6;10.9;21.1
C249I;22.8;22.9;23.1;24.5;24.3;25.5;27.6;27.0;26.0;25.7;25.5;22.1;24.8
C029O;23.6;24.6;23.7;26.8;26.3;26.6;29.3;30.3;28.4;27.3;26.7;23.0;26.4
C649I;24.5;24.0;23.5;25.5;25.3;26.1;28.0;28.7;27.3;26.8;27.2;23.9;25.9
2661;9.0;12.1;12.9;17.0;18.2;23.8;28.8;30.2;21.7;17.5;14.7;9.0;17.9
1549;10.8;14.7;15.7;20.8;20.8;26.5;31.0;32.4;24.2;20.0;17.2;9.7;20.3
9771C;10.8;14.3;19.0;22.9;26.0;30.9;35.6;34.9;26.4;22.5;15.7;11.1;22.5
1505;13.0;14.8;14.4;18.7;18.7;21.6;26.0;26.8;21.2;19.1;17.4;11.2;18.6
3191E;10.1;11.9;12.9;17.6;21.2;25.6;32.4;32.9;23.8;17.9;14.1;10.9;19.3
3129;12.7;15.1;16.6;21.7;25.7;29.7;36.3;36.3;27.4;21.6;17.1;13.5;22.8
3196;12.5;15.1;16.1;21.2;24.8;28.7;35.5;35.7;26.9;21.1;17.1;13.1;22.3
3200;12.8;15.3;16.6;21.4;24.9;29.2;35.8;35.8;27.1;21.2;17.3;13.0;22.5
3195;11.6;14.2;16.2;21.0;24.3;28.6;35.2;35.0;26.1;19.6;15.9;11.7;21.6
3175;12.7;15.2;16.6;21.2;24.9;29.2;35.7;35.6;26.8;21.4;17.5;13.5;22.5
2462;6.6;6.0;6.4;10.7;13.5;18.0;25.2;26.0;17.0;10.8;8.6;5.2;12.8
6155A;18.8;20.1;20.3;23.4;25.6;29.0;31.9;32.9;29.6;;22.0;18.9;
6000A;19.4;19.9;20.6;22.0;23.8;26.1;30.4;30.8;28.0;24.8;21.4;18.8;23.8
7178I;19.9;21.6;23.0;25.4;28.9;31.3;36.1;35.4;31.2;27.4;23.3;18.9;26.9
7228;19.6;21.3;23.1;25.5;28.9;31.4;36.5;35.8;31.5;27.4;22.8;18.5;26.9
7031;17.9;19.6;20.4;21.0;24.0;26.8;30.4;30.7;28.2;25.6;21.8;18.1;23.7
9263D;11.0;13.9;16.4;18.6;21.1;26.0;30.6;30.2;21.8;19.8;15.7;9.8;19.6
9262;11.1;13.6;15.8;17.8;20.6;25.2;29.7;29.6;21.6;19.8;16.2;10.2;19.3
1690A;15.2;18.1;17.9;23.3;23.2;28.0;32.6;34.0;26.4;22.4;20.1;13.9;22.9
1484C;14.4;16.6;16.3;21.1;21.0;24.9;27.8;29.2;23.4;20.8;19.4;14.1;20.8
1495;13.7;15.8;15.2;19.5;19.2;23.1;26.6;27.8;22.5;19.8;18.5;13.6;19.6
2867;11.9;13.9;15.3;19.0;21.8;27.1;32.9;33.9;25.4;20.3;17.7;10.0;20.8
2870;12.8;14.5;15.8;19.8;22.0;26.9;32.7;33.7;25.1;19.9;17.9;10.8;21.0
C929I;23.7;23.1;22.3;24.0;23.3;24.1;25.2;26.3;25.7;25.3;25.4;22.6;24.3
C430E;12.2;13.4;9.8;14.8;16.4;19.0;25.1;25.0;20.0;16.2;13.0;9.2;16.2
C139E;23.3;22.6;21.4;22.8;22.2;23.2;24.2;25.7;25.2;24.8;25.0;22.4;23.6
C449C;24.2;24.0;23.3;25.2;25.1;26.5;29.7;30.0;27.5;26.5;26.6;23.3;26.0
C447A;20.3;20.2;18.1;22.8;20.7;20.8;24.7;25.3;22.9;22.2;22.6;18.4;21.6
C429I;25.1;25.2;24.2;27.0;25.8;26.0;28.3;29.8;27.6;27.1;26.6;23.2;26.3
2465;11.3;12.0;14.0;17.6;20.2;25.3;31.6;32.1;23.5;18.6;15.8;9.7;19.3
5796;18.7;19.6;20.3;24.9;29.0;31.0;37.0;37.1;31.1;24.8;22.2;18.1;26.2
5783;17.5;18.9;20.0;24.9;29.6;31.4;36.7;37.0;30.7;24.4;;17.8;
2030;11.1;12.9;13.8;17.4;20.1;24.9;31.4;31.8;21.4;17.3;15.2;10.9;19.0
0016A;16.1;18.0;17.7;21.0;23.9;26.4;30.4;32.1;26.5;23.1;19.9;16.6;22.6
9981A;17.8;20.3;21.5;24.9;28.1;30.9;34.6;35.6;28.9;24.7;20.0;15.8;25.3
9381I;11.7;14.1;16.0;19.4;22.5;27.3;33.2;32.7;23.0;19.1;15.9;10.7;20.5
8368U;13.3;15.4;17.3;20.9;24.7;28.4;34.0;33.7;25.1;20.5;16.3;11.8;21.8
3260B;13.9;16.3;17.8;22.8;26.5;30.6;37.4;37.5;28.8;22.4;18.8;13.9;23.9
8416;18.7;20.0;19.7;22.0;25.1;27.4;30.3;31.5;28.2;25.6;21.9;18.3;24.1
8414A;18.6;20.2;20.2;23.1;26.2;28.5;32.2;32.7;28.7;25.6;21.4;18.1;24.6
2422;10.1;13.6;15.2;18.7;21.5;26.9;33.0;33.6;24.4;19.7;16.2;8.6;20.1
2539;10.2;12.9;14.0;17.1;19.9;25.5;31.6;31.9;23.0;18.8;15.6;8.8;19.1
2614;9.9;14.1;15.7;20.1;22.3;27.8;33.5;34.5;25.3;19.9;16.2;9.2;20.7
9390;12.0;14.5;16.5;20.0;22.7;27.6;33.2;32.9;23.5;19.5;16.6;11.7;20.9
9434;12.2;15.8;19.1;21.5;25.2;29.9;34.9;34.3;25.2;20.9;16.4;11.2;22.2
